Jura.dat
11
Xloc
Yloc
Landuse
Rock
Cd
Co
Cr
Cu
Ni
Pb
Zn
    2.386    3.077    3    3    1.740    9.320   38.320   25.720   21.320   77.360   92.560
    2.544    1.972    2    2    1.335   10.000   40.200   24.760   29.720   77.880   73.560
    2.807    3.347    2    3    1.610   10.600   47.000    8.880   21.400   30.800   64.800
    4.308    1.933    3    2    2.150   11.920   43.520   22.700   29.720   56.400   90.000
    4.383    1.081    3    5    1.565   16.320   38.520   34.320   26.200   66.400   88.400
    3.244    4.519    3    5    1.145    3.508   40.400   31.280   22.040   72.400   75.200
    3.925    3.785    3    5    0.894   15.080   30.520   27.440   21.760   60.000   72.400
    2.116    3.498    3    1    0.525    4.200   25.400   66.120    9.720  141.000   72.080
    1.842    0.989    3    1    0.240    4.520   27.960   22.320   11.320   52.400   56.400
    1.709    1.843    3    3    0.625   12.080   33.320   18.720   16.880   41.600   75.600
    3.800    4.578    3    1    3.873    9.840   46.000   22.240   21.640   46.000  143.200
    2.699    1.199    1    1    1.425    7.560   40.800    8.760   15.720   56.400   66.800
    3.033    4.384    3    5    0.455    2.368   19.240   21.360    7.080   38.360   37.880
    4.232    1.588    1    2    1.025    8.840   28.320    5.880   17.400   52.800   47.600
    4.750    1.369    3    2    0.775   11.960   35.600   17.600   23.760   32.920   70.800
    2.341    4.135    3    1    0.620    5.320   31.000   18.520   10.800   42.000   46.800
    2.827    3.667    3    5    0.400    4.680   20.520    3.960    6.680   21.480   25.200
    3.043    4.692    3    1    0.625    3.536   25.200    8.240   11.320   29.920   31.320
    1.687    1.174    3    1    0.355    3.640   18.400   21.560    6.640   46.800   39.560
    2.235    2.386    3    5    1.585   12.440   40.560   40.880   25.080   88.680  114.280
    3.122    1.695    3    2    1.885   12.920   44.000   35.920   34.720   72.880  120.280
    2.219    2.774    2    2    1.300   13.040   32.480    8.800   31.520   56.520   71.760
    3.185    2.092    3    2    1.575   11.200   35.720   22.120   35.000   43.680   90.680
    3.514    5.119    2    1    4.191    9.280   52.000   15.480   21.760   33.360  145.600
    4.459    2.624    1    2    1.485    6.840   19.000   11.160   15.840   34.640   82.800
